6526,00AR,closed,Newport Hospital & Clinic Heliport,35.6087,-91.254898,237,NA,US,US-AR,Newport,no,,,,,,
6529,00CO,closed,Cass Field,40.622202,-104.344002,4830,NA,US,US-CO,Briggsdale,no,,,,,,
6532,00FD,closed,Ringhaver Heliport,28.8466,-82.345398,25,NA,US,US-FL,Riverview,no,,,,,,
6538,00II,closed,Bailey Generation Station Heliport,41.644501,-87.122803,600,NA,US,US-IN,Chesterton,no,,,,,,
6555,00OH,closed,Exit 3 Airport,41.590476,-84.141583,785,NA,US,US-OH,Wauseon,no,,,,,,
6559,00PS,closed,Thomas Field,40.3778,-77.365303,815,NA,US,US-PA,Loysville,no,,,,,,
6562,00TA,closed,SW Region FAA Heliport,32.8269,-97.305801,598,NA,US,US-TX,Fort Worth,no,,,,,,
6566,00TX,closed,San Jacinto Methodist Hospital Heliport,29.7377,-94.980201,19,NA,US,US-TX,Baytown,no,,,,,,
6567,00UT,closed,Clear Creek Ranch Airport,37.247799,-112.821998,6138,NA,US,US-UT,Kanab,no,,,,,,
6575,00XS,closed,L P Askew Farms Airport,33.033401,-101.933998,3110,NA,US,US-TX,O'Donnell,no,,,,,,
6581,01C,closed,Grant Airport,43.34170151,-85.77500153,815,NA,US,US-MI,Grant,no,,,,,,
6584,01CN,closed,Los Angeles County Sheriff's Department Heliport,34.0378,-118.153999,300,NA,US,US-CA,Los Angeles,no,,,,,,
6612,01NE,closed,Detour Airport,40.843619,-100.651503,3000,NA,US,US-NE,Wellfleet,no,,,,,,
6618,01OK,closed,Lawrence Airport,35.294498,-98.636496,1525,NA,US,US-OK,Eakly,no,,,,,,
6619,01OR,closed,Red & White Flying Service Airport,43.119301,-121.044997,4346,NA,US,US-OR,Silver Lake,no,,,,,,
6620,01PA,closed,Pine Heliport,40.655602,-80.050903,1215,NA,US,US-PA,Mars,no,,,,,,
6627,01TS,closed,St Joseph Hospital Heliport,32.7285,-97.324501,675,NA,US,US-TX,Fort Worth,no,,,,,,
6628,01TX,closed,Mims Farm Ultralightport,32.388115,-96.877398,610,NA,US,US-TX,Waxahachie,no,,,,,,
43030,02AR,closed,Three Rivers Airport,34.822445,-92.44442,264,NA,US,US-AR,Little Rock,no,,,,,,
6640,02AZ,closed,Winchester Farm Airstrip,32.376401,-109.936996,4200,NA,US,US-AZ,Willcox,no,,,,,,
45347,02FL,closed,Cuchens Airport,30.642527,-86.118779,215,NA,US,US-FL,Defuniak Springs,no,,,,,,
6663,02MN,closed,Greenbush Municipal Airport,48.686527,-96.191976,1070,NA,US,US-MN,Greenbush,no,,,,,,
6666,02MT,closed,Barrett Field,47.2374,-111.74304,3350,NA,US,US-MT,Cascade,no,,,,,,
6667,02MU,closed,Timber Line Airpark,36.655612,-93.802387,1550,NA,US,US-MO,Cassville,no,,,,,,
45686,02NC,closed,Race City Heliport,35.540477,-80.598047,809,NA,US,US-NC,Landis,no,,,,,,
6675,02OK,closed,Canon Heliport,35.458401,-97.525297,1191,NA,US,US-OK,Oklahoma City,no,,,,,,
6681,02PS,closed,Hughes Ultralightport,41.90063,-77.230025,1700,NA,US,US-PA,Tioga,no,,,,,,
6687,02TS,closed,FWOMC Heliport,32.747601,-97.370003,684,NA,US,US-TX,Fort Worth,no,,,,,,
6688,02TX,closed,The Palms At Kitty Hawk Airport,33.370403,-101.922882,3235,NA,US,US-TX,New Home,no,,,,,,
6695,02XS,closed,Seidel Ranch Airport,30.100941,-97.672607,510,NA,US,US-TX,Austin,no,,,,,,
6703,03FD,closed,Tharpe Airport,30.8288,-85.731003,115,NA,US,US-FL,Bonifay,no,,,,,,
6705,03I,closed,Clarks Dream Strip,39.644199,-83.018204,680,NA,US,US-OH,Circleville,no,,,,,,
6706,03IA,closed,East Field,41.581902,-92.461304,954,NA,US,US-IA,Montezuma,no,,,,,,
6722,03MO,closed,Cahoochie Airport,37.884499,-93.131599,1010,NA,US,US-MO,Urbana,no,,,,,,
6730,03NJ,closed,AT&T Heliport,40.668713,-74.410152,360,NA,US,US-NJ,Berkeley Heights,no,,,,,,
6739,03PS,closed,Ziggy's Field,40.849998,-77.905602,1050,NA,US,US-PA,Bellefonte,no,,,,,,
6742,03TA,closed,Gay Hill Farm Airport,30.262699,-96.500198,505,NA,US,US-TX,Gay Hill,no,,,,,,
